[08:40:00.000 18/12/1990]	[0]	708.188	V	[08:51:48.188 18/12/1990]
[08:51:48.188 18/12/1990]	V	73.664	V	[08:53:01.852 18/12/1990]
[08:53:01.852 18/12/1990]	V	513.758	V	[09:01:35.609 18/12/1990]
[09:01:35.609 18/12/1990]	V	11.281	N	[09:01:46.891 18/12/1990]
[09:01:46.891 18/12/1990]	N	50.906	Q	[09:02:37.797 18/12/1990]
[09:02:37.797 18/12/1990]	Q	2.812	N	[09:02:40.609 18/12/1990]
[09:02:40.609 18/12/1990]	N	603.328	V	[09:12:43.938 18/12/1990]
[09:12:43.938 18/12/1990]	V	7.711	V	[09:12:51.648 18/12/1990]
[09:12:51.648 18/12/1990]	V	12.453	N	[09:13:04.102 18/12/1990]
[09:13:04.102 18/12/1990]	N	160.211	Q	[09:15:44.313 18/12/1990]
[09:15:44.313 18/12/1990]	Q	3.555	N	[09:15:47.867 18/12/1990]
[09:15:47.867 18/12/1990]	N	2.453	Q	[09:15:50.320 18/12/1990]
[09:15:50.320 18/12/1990]	Q	0.695	N	[09:15:51.016 18/12/1990]
[09:15:51.016 18/12/1990]	N	0.383	Q	[09:15:51.398 18/12/1990]
[09:15:51.398 18/12/1990]	Q	3.500	N	[09:15:54.898 18/12/1990]
[09:15:54.898 18/12/1990]	N	3.531	Q	[09:15:58.430 18/12/1990]
[09:15:58.430 18/12/1990]	Q	1.711	N	[09:16:00.141 18/12/1990]
[09:16:00.141 18/12/1990]	N	0.695	N	[09:16:00.836 18/12/1990]
[09:16:00.836 18/12/1990]	N	1.086	Q	[09:16:01.922 18/12/1990]
[09:16:01.922 18/12/1990]	Q	3.070	N	[09:16:04.992 18/12/1990]
[09:16:04.992 18/12/1990]	N	1.352	Q	[09:16:06.344 18/12/1990]
[09:16:06.344 18/12/1990]	Q	0.688	N	[09:16:07.031 18/12/1990]
[09:16:07.031 18/12/1990]	N	1.086	Q	[09:16:08.117 18/12/1990]
[09:16:08.117 18/12/1990]	Q	0.992	N	[09:16:09.109 18/12/1990]
[09:16:09.109 18/12/1990]	N	1.406	Q	[09:16:10.516 18/12/1990]
[09:16:10.516 18/12/1990]	Q	1.078	N	[09:16:11.594 18/12/1990]
[09:16:11.594 18/12/1990]	N	3.000	Q	[09:16:14.594 18/12/1990]
[09:16:14.594 18/12/1990]	Q	2.961	N	[09:16:17.555 18/12/1990]
[09:16:17.555 18/12/1990]	N	0.383	Q	[09:16:17.938 18/12/1990]
[09:16:17.938 18/12/1990]	Q	1.688	N	[09:16:19.625 18/12/1990]
[09:16:19.625 18/12/1990]	N	0.695	N	[09:16:20.320 18/12/1990]
[09:16:20.320 18/12/1990]	N	0.688	N	[09:16:21.008 18/12/1990]
[09:16:21.008 18/12/1990]	N	0.375	V	[09:16:21.383 18/12/1990]
[09:16:21.383 18/12/1990]	V	1.008	N	[09:16:22.391 18/12/1990]
[09:16:22.391 18/12/1990]	N	0.695	N	[09:16:23.086 18/12/1990]
[09:16:23.086 18/12/1990]	N	0.680	N	[09:16:23.766 18/12/1990]
[09:16:23.766 18/12/1990]	N	0.688	N	[09:16:24.453 18/12/1990]
[09:16:24.453 18/12/1990]	N	0.688	N	[09:16:25.141 18/12/1990]
[09:16:25.141 18/12/1990]	N	0.695	N	[09:16:25.836 18/12/1990]
[09:16:25.836 18/12/1990]	N	0.383	V	[09:16:26.219 18/12/1990]
[09:16:26.219 18/12/1990]	V	1.031	N	[09:16:27.250 18/12/1990]
[09:16:27.250 18/12/1990]	N	0.703	N	[09:16:27.953 18/12/1990]
[09:16:27.953 18/12/1990]	N	0.703	N	[09:16:28.656 18/12/1990]
[09:16:28.656 18/12/1990]	N	0.703	N	[09:16:29.359 18/12/1990]
[09:16:29.359 18/12/1990]	N	0.695	N	[09:16:30.055 18/12/1990]
[09:16:30.055 18/12/1990]	N	0.703	N	[09:16:30.758 18/12/1990]
[09:16:30.758 18/12/1990]	N	0.703	N	[09:16:31.461 18/12/1990]
[09:16:31.461 18/12/1990]	N	0.719	N	[09:16:32.180 18/12/1990]
[09:16:32.180 18/12/1990]	N	0.375	V	[09:16:32.555 18/12/1990]
[09:16:32.555 18/12/1990]	V	1.070	N	[09:16:33.625 18/12/1990]
[09:16:33.625 18/12/1990]	N	0.734	N	[09:16:34.359 18/12/1990]
[09:16:34.359 18/12/1990]	N	0.719	N	[09:16:35.078 18/12/1990]
[09:16:35.078 18/12/1990]	N	0.727	N	[09:16:35.805 18/12/1990]
[09:16:35.805 18/12/1990]	N	0.734	N	[09:16:36.539 18/12/1990]
[09:16:36.539 18/12/1990]	N	0.734	N	[09:16:37.273 18/12/1990]
[09:16:37.273 18/12/1990]	N	0.727	N	[09:16:38.000 18/12/1990]
[09:16:38.000 18/12/1990]	N	0.734	N	[09:16:38.734 18/12/1990]
[09:16:38.734 18/12/1990]	N	0.742	N	[09:16:39.477 18/12/1990]
[09:16:39.477 18/12/1990]	N	0.750	N	[09:16:40.227 18/12/1990]
[09:16:40.227 18/12/1990]	N	0.727	N	[09:16:40.953 18/12/1990]
[09:16:40.953 18/12/1990]	N	0.742	N	[09:16:41.695 18/12/1990]
[09:16:41.695 18/12/1990]	N	0.742	N	[09:16:42.438 18/12/1990]
[09:16:42.438 18/12/1990]	N	0.734	N	[09:16:43.172 18/12/1990]
[09:16:43.172 18/12/1990]	N	0.719	N	[09:16:43.891 18/12/1990]
[09:16:43.891 18/12/1990]	N	0.711	N	[09:16:44.602 18/12/1990]
[09:16:44.602 18/12/1990]	N	0.375	V	[09:16:44.977 18/12/1990]
[09:16:44.977 18/12/1990]	V	1.039	N	[09:16:46.016 18/12/1990]
[09:16:46.016 18/12/1990]	N	0.703	N	[09:16:46.719 18/12/1990]
[09:16:46.719 18/12/1990]	N	0.711	N	[09:16:47.430 18/12/1990]
[09:16:47.430 18/12/1990]	N	0.719	N	[09:16:48.148 18/12/1990]
[09:16:48.148 18/12/1990]	N	0.375	V	[09:16:48.523 18/12/1990]
[09:16:48.523 18/12/1990]	V	1.062	N	[09:16:49.586 18/12/1990]
[09:16:49.586 18/12/1990]	N	0.719	N	[09:16:50.305 18/12/1990]
[09:16:50.305 18/12/1990]	N	0.711	N	[09:16:51.016 18/12/1990]
[09:16:51.016 18/12/1990]	N	0.727	N	[09:16:51.742 18/12/1990]
[09:16:51.742 18/12/1990]	N	0.719	N	[09:16:52.461 18/12/1990]
[09:16:52.461 18/12/1990]	N	0.727	N	[09:16:53.188 18/12/1990]
[09:16:53.188 18/12/1990]	N	0.727	N	[09:16:53.914 18/12/1990]
[09:16:53.914 18/12/1990]	N	0.719	N	[09:16:54.633 18/12/1990]
[09:16:54.633 18/12/1990]	N	0.711	N	[09:16:55.344 18/12/1990]
[09:16:55.344 18/12/1990]	N	0.703	N	[09:16:56.047 18/12/1990]
[09:16:56.047 18/12/1990]	N	0.703	N	[09:16:56.750 18/12/1990]
[09:16:56.750 18/12/1990]	N	0.695	N	[09:16:57.445 18/12/1990]
[09:16:57.445 18/12/1990]	N	0.367	V	[09:16:57.813 18/12/1990]
[09:16:57.813 18/12/1990]	V	1.039	N	[09:16:58.852 18/12/1990]
[09:16:58.852 18/12/1990]	N	0.719	N	[09:16:59.570 18/12/1990]
[09:16:59.570 18/12/1990]	N	0.703	N	[09:17:00.273 18/12/1990]
[09:17:00.273 18/12/1990]	N	0.711	N	[09:17:00.984 18/12/1990]
[09:17:00.984 18/12/1990]	N	0.383	V	[09:17:01.367 18/12/1990]
[09:17:01.367 18/12/1990]	V	1.055	N	[09:17:02.422 18/12/1990]
[09:17:02.422 18/12/1990]	N	0.719	N	[09:17:03.141 18/12/1990]
[09:17:03.141 18/12/1990]	N	0.719	N	[09:17:03.859 18/12/1990]
[09:17:03.859 18/12/1990]	N	0.727	N	[09:17:04.586 18/12/1990]
[09:17:04.586 18/12/1990]	N	0.727	N	[09:17:05.313 18/12/1990]
[09:17:05.313 18/12/1990]	N	0.711	N	[09:17:06.023 18/12/1990]
[09:17:06.023 18/12/1990]	N	0.734	N	[09:17:06.758 18/12/1990]
[09:17:06.758 18/12/1990]	N	0.727	N	[09:17:07.484 18/12/1990]
[09:17:07.484 18/12/1990]	N	0.742	N	[09:17:08.227 18/12/1990]
[09:17:08.227 18/12/1990]	N	0.734	N	[09:17:08.961 18/12/1990]
[09:17:08.961 18/12/1990]	N	0.750	N	[09:17:09.711 18/12/1990]
